Block number,Coinbase emission,Total fees
1211,17571880553815,0
1212,17571863795964,0
1213,17571847038129,0
1214,17571830280310,0
1215,17571813522507,0
1216,17571796764719,0
1217,17571780006948,0
1218,17571763249193,0
1219,17571746491454,0
1220,17571729733730,0
1221,17571712976023,0
1222,17571696218332,0
1223,17571679460656,0
1224,17571662702997,0
1225,17571645945353,0
1226,17571629187726,0
1227,17571612430114,0
1228,17571595672519,0
1229,17571578914939,0
1230,17571562157376,0
1231,17571545399828,0
1232,17571528642297,0
1233,17571511884781,0
1234,17571495127282,0
1235,17571478369798,0
1236,17571461612331,0
1237,17571444854879,0
1238,17571428097443,0
1239,17571411340024,0
1240,17571394582620,0
1241,17571377825232,0
1242,17571361067860,0
1243,17571344310505,0
1244,17571327553165,0
1245,17571310795841,0
1246,17571294038533,0
1247,17571277281241,1307304
1248,17571260523966,0
1249,17571243766706,1000000
1250,17571227009462,0
1251,17571210252234,0
1252,17571193495022,0
1253,17571176737826,0
1254,17571159980646,0
1255,17571143223482,0
1256,17571126466334,0
1257,17571109709202,0
1258,17571092952086,0
1259,17571076194986,0
1260,17571059437902,0
1261,17571042680834,0
1262,17571025923782,0
1263,17571009166746,0
1264,17570992409725,0
1265,17570975652721,1000000
1266,17570958895733,0
1267,17570942138761,0
1268,17570925381805,0
1269,17570908624864,0
1270,17570891867940,0
1271,17570875111032,0
1272,17570858354139,0
1273,17570841597263,0
1274,17570824840403,0
1275,17570808083558,0
1276,17570791326730,0
1277,17570774569918,0
1278,17570757813121,0
1279,17570741056341,0
1280,17570724299576,0
1281,17570707542828,0
1282,17570690786095,0
1283,17570674029379,0
1284,17570657272678,0
1285,17570640515994,0
1286,17570623759325,0
1287,17570607002672,0
1288,17570590246036,0
1289,17570573489415,0
1290,17570556732811,0
1291,17570539976222,0
1292,17570523219649,0
1293,17570506463092,0
1294,17570489706552,0
1295,17570472950027,0
1296,17570456193518,0
1297,17570439437025,0
1298,17570422680549,0
1299,17570405924088,0
1300,17570389167643,0
1301,17570372411214,0
1302,17570355654801,0
1303,17570338898404,0
1304,17570322142023,0
1305,17570305385658,0
1306,17570288629309,0
1307,17570271872976,0
1308,17570255116659,0
1309,17570238360358,0
1310,17570221604073,0
1311,17570204847804,0
1312,17570188091551,0
1313,17570171335314,0
1314,17570154579093,0
1315,17570137822888,0
1316,17570121066698,0
1317,17570104310525,0
1318,17570087554368,0
1319,17570070798227,0
1320,17570054042101,0
1321,17570037285992,0
1322,17570020529899,0
1323,17570003773822,0
1324,17569987017760,0
1325,17569970261715,0
1326,17569953505686,0
1327,17569936749672,0
1328,17569919993675,0
1329,17569903237693,0
1330,17569886481728,0
1331,17569869725778,0
1332,17569852969845,0
1333,17569836213927,0
1334,17569819458026,0
1335,17569802702140,0
1336,17569785946271,0
1337,17569769190417,0
1338,17569752434579,0
1339,17569735678758,0
1340,17569718922952,0
1341,17569702167162,0
1342,17569685411389,0
1343,17569668655631,0
1344,17569651899889,0
1345,17569635144163,0
1346,17569618388454,0
1347,17569601632760,0
1348,17569584877082,0
1349,17569568121420,0
1350,17569551365774,0
1351,17569534610144,0
1352,17569517854531,0
1353,17569501098933,0
